Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2018-2019,Bundesliga,286,Omar Mascarell,es ESP,MF,Schalke 04,25,1993,14,11,993,0,2,0,0,2,0
2018-2019,Bundesliga,287,Jean-Philippe Mateta,fr FRA,FW,Mainz 05,21,1997,34,29,"2,483",14,2,0,0,2,0
2018-2019,Bundesliga,288,Christian Mathenia,de GER,GK,Nürnberg,26,1992,22,22,"1,932",0,0,0,0,2,0
2018-2019,Bundesliga,289,Rabbi Matondo,wal WAL,"FW,MF",Schalke 04,17,2000,7,1,189,0,0,0,0,0,0
2018-2019,Bundesliga,290,Philipp Max,de GER,"DF,MF",Augsburg,24,1993,30,30,"2,569",4,2,0,0,1,0
2018-2019,Bundesliga,291,Alexandru Maxim,ro ROU,MF,Mainz 05,28,1990,22,3,579,1,0,0,0,3,0
2018-2019,Bundesliga,292,Weston McKennie,us USA,"MF,DF",Schalke 04,19,1998,24,19,"1,746",1,4,0,0,6,0
2018-2019,Bundesliga,293,Admir Mehmedi,ch SUI,"FW,MF",Wolfsburg,27,1991,26,20,"1,692",6,5,0,0,1,0
2018-2019,Bundesliga,294,Hamza Mendyl,ma MAR,"DF,MF",Schalke 04,20,1997,9,7,544,0,0,0,0,5,0
2018-2019,Bundesliga,295,Virgil Misidjan,nl NED,"FW,MF",Nürnberg,25,1993,23,17,"1,543",1,1,0,0,5,0
2018-2019,Bundesliga,296,Maximilian Mittelstädt,de GER,"DF,MF",Hertha BSC,21,1997,25,20,"1,804",1,1,0,0,3,1
2018-2019,Bundesliga,297,Kevin Möhwald,de GER,"MF,FW",Werder Bremen,25,1993,23,7,873,3,1,0,0,2,0
2018-2019,Bundesliga,298,Niklas Moisander,fi FIN,DF,Werder Bremen,32,1985,30,30,"2,637",0,0,0,0,7,1
2018-2019,Bundesliga,299,Alfredo Morales,us USA,MF,Düsseldorf,28,1990,23,16,"1,532",1,1,0,0,6,0
2018-2019,Bundesliga,300,Jan Morávek,cz CZE,MF,Augsburg,28,1989,13,7,757,0,2,0,0,1,0
2018-2019,Bundesliga,301,Lukas Mühl,de GER,DF,Nürnberg,21,1997,31,31,"2,790",1,0,0,0,4,0
2018-2019,Bundesliga,302,Nordi Mukiele,fr FRA,DF,RB Leipzig,20,1997,19,14,"1,225",1,1,0,0,3,0
2018-2019,Bundesliga,303,Florian Müller,de GER,GK,Mainz 05,20,1997,24,24,"2,160",0,0,0,0,0,0
2018-2019,Bundesliga,304,Nicolai Müller,de GER,"FW,MF",Eint Frankfurt,30,1987,7,3,217,2,0,0,0,1,0
2018-2019,Bundesliga,305,Nicolai Müller,de GER,"MF,FW",Hannover 96,30,1987,14,11,899,3,0,0,0,2,0
2018-2019,Bundesliga,306,Thomas Müller,de GER,"MF,FW",Bayern Munich,28,1989,32,28,"2,378",6,9,0,0,1,0
2018-2019,Bundesliga,307,Florent Muslija,xk KVX,"MF,FW",Hannover 96,20,1998,17,6,679,2,0,0,0,1,0
2018-2019,Bundesliga,308,Yvon Mvogo,ch SUI,GK,RB Leipzig,24,1994,2,1,135,0,0,0,0,0,0
2018-2019,Bundesliga,309,Phillipp Mwene,at AUT,DF,Mainz 05,24,1994,6,2,274,0,0,0,0,0,0
2018-2019,Bundesliga,310,Obite N'Dicka,fr FRA,DF,Eint Frankfurt,18,1999,27,24,"2,304",1,1,0,0,3,0
2018-2019,Bundesliga,311,Naldo,br BRA,DF,Schalke 04,35,1982,7,7,630,0,0,0,0,1,0
2018-2019,Bundesliga,312,Matija Nastasić,rs SRB,DF,Schalke 04,25,1993,28,28,"2,449",1,0,0,0,6,1
2018-2019,Bundesliga,313,Reiss Nelson,eng ENG,"MF,FW",Hoffenheim,18,1999,23,5,643,7,0,0,0,0,0
2018-2019,Bundesliga,314,Manuel Neuer,de GER,GK,Bayern Munich,32,1986,26,26,"2,302",0,0,0,0,1,0
