Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,EPL,131,Eric Dier,eng ENG,"MF,DF",Tottenham,23,1994,34,32,"2,824",0,2,0,0,4,0
2017-2018,EPL,132,Virgil van Dijk,nl NED,DF,Liverpool,26,1991,14,14,"1,260",0,0,0,0,1,0
2017-2018,EPL,133,Virgil van Dijk,nl NED,DF,Southampton,26,1991,12,11,994,0,0,0,0,0,0
2017-2018,EPL,134,Abdoulaye Doucouré,fr FRA,MF,Watford,24,1993,37,37,"3,324",7,3,0,0,10,0
2017-2018,EPL,135,Aleksandar Dragović,at AUT,DF,Leicester City,26,1991,11,7,769,0,0,0,0,2,0
2017-2018,EPL,136,Danny Drinkwater,eng ENG,MF,Chelsea,27,1990,12,5,527,1,0,0,0,0,0
2017-2018,EPL,137,Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,"1,080",0,0,0,0,0,0
2017-2018,EPL,138,Shane Duffy,ie IRL,DF,Brighton,25,1992,37,37,"3,292",0,1,0,0,8,0
2017-2018,EPL,139,Paul Dummett,wal WAL,DF,Newcastle Utd,25,1991,20,19,"1,602",0,0,0,0,1,0
2017-2018,EPL,140,Lewis Dunk,eng ENG,DF,Brighton,25,1991,38,38,"3,420",1,1,0,0,7,0
2017-2018,EPL,141,Nathan Dyer,eng ENG,"MF,FW",Swansea City,29,1987,24,16,"1,307",0,0,0,0,2,0
2017-2018,EPL,142,Ederson,br BRA,GK,Manchester City,23,1993,36,36,"3,194",0,0,0,0,1,0
2017-2018,EPL,143,Tom Edwards,eng ENG,DF,Stoke City,18,1999,6,6,481,0,0,0,0,0,0
2017-2018,EPL,144,Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,"1,440",0,0,0,0,0,0
2017-2018,EPL,145,Mohamed Elneny,eg EGY,MF,Arsenal,25,1992,13,11,867,0,1,0,0,3,1
2017-2018,EPL,146,Christian Eriksen,dk DEN,"MF,FW",Tottenham,25,1992,37,37,"3,218",10,10,0,0,0,0
2017-2018,EPL,147,Jonny Evans,nir NIR,DF,West Brom,29,1988,28,26,"2,270",2,2,0,0,7,0
2017-2018,EPL,148,Patrice Evra,fr FRA,DF,West Ham,36,1981,5,3,228,0,0,0,0,0,0
2017-2018,EPL,149,Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38,38,"3,420",0,0,0,0,0,0
2017-2018,EPL,150,Cesc Fàbregas,es ESP,MF,Chelsea,30,1987,32,25,"2,307",2,4,0,0,5,2
