Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,Bundesliga,283,Matthias Lehmann,de GER,MF,Köln,34,1983,20,17,"1,515",0,0,0,0,3,0
2017-2018,Bundesliga,284,Bernd Leno,de GER,GK,Leverkusen,25,1992,33,33,"2,970",0,0,0,0,1,0
2017-2018,Bundesliga,285,Robert Lewandowski,pl POL,FW,Bayern Munich,28,1988,30,24,"2,172",29,2,6,7,1,0
2017-2018,Bundesliga,286,Philipp Lienhart,at AUT,DF,Freiburg,21,1996,11,11,865,0,0,0,0,2,0
2017-2018,Bundesliga,287,Ademola Lookman,eng ENG,"MF,FW",RB Leipzig,19,1997,11,7,574,5,3,0,0,1,0
2017-2018,Bundesliga,288,Lars Lukas Mai,de GER,DF,Bayern Munich,17,2000,2,2,180,0,0,0,0,0,0
2017-2018,Bundesliga,289,Fabian Lustenberger,ch SUI,"MF,DF",Hertha BSC,29,1988,23,18,"1,583",0,0,0,0,3,0
2017-2018,Bundesliga,290,Andreas Luthe,de GER,GK,Augsburg,30,1987,2,2,180,0,0,0,0,0,0
2017-2018,Bundesliga,291,Arne Maier,de GER,MF,Hertha BSC,18,1999,17,14,"1,223",0,1,0,0,1,0
2017-2018,Bundesliga,292,Sebastian Maier,de GER,MF,Hannover 96,23,1993,10,2,265,0,0,0,0,0,0
2017-2018,Bundesliga,293,Linton Maina,de GER,MF,Hannover 96,18,1999,1,0,5,0,1,0,0,0,0
2017-2018,Bundesliga,294,Yunus Mallı,tr TUR,"FW,MF",Wolfsburg,25,1992,31,24,"2,242",5,4,0,0,3,0
2017-2018,Bundesliga,295,Orel Mangala,be BEL,MF,Stuttgart,19,1998,20,7,779,0,0,0,0,2,0
2017-2018,Bundesliga,296,Dominic Maroh,si SVN,DF,Köln,30,1987,11,10,914,0,0,0,0,0,0
2017-2018,Bundesliga,297,Javi Martínez,es ESP,"MF,DF",Bayern Munich,28,1988,22,18,"1,609",1,2,0,0,1,0
2017-2018,Bundesliga,298,Omar Mascarell,es ESP,MF,Eint Frankfurt,24,1993,9,8,771,1,0,0,0,4,0
2017-2018,Bundesliga,299,Christian Mathenia,de GER,GK,Hamburger SV,25,1992,24,24,"2,160",0,0,0,0,2,0
2017-2018,Bundesliga,300,Ville Matti Steinmann,de GER,MF,Hamburger SV,22,1995,8,8,595,0,0,0,0,2,0
2017-2018,Bundesliga,301,Mërgim Mavraj,al ALB,DF,Hamburger SV,31,1986,17,17,"1,445",0,0,0,0,3,1
2017-2018,Bundesliga,302,Philipp Max,de GER,DF,Augsburg,23,1993,33,33,"2,959",2,12,0,0,5,0
2017-2018,Bundesliga,303,Alexandru Maxim,ro ROU,"MF,FW",Mainz 05,27,1990,22,11,957,2,2,0,0,4,0
2017-2018,Bundesliga,304,Florian Mayer,de GER,DF,M'Gladbach,19,1998,1,0,19,0,0,0,0,0,0
2017-2018,Bundesliga,305,Weston McKennie,us USA,MF,Schalke 04,18,1998,22,13,"1,263",0,0,0,0,3,0
2017-2018,Bundesliga,306,Slobodan Medojević,rs SRB,MF,Eint Frankfurt,26,1990,1,0,29,0,0,0,0,0,0
2017-2018,Bundesliga,307,Admir Mehmedi,ch SUI,"FW,MF",Wolfsburg,26,1991,5,3,290,1,0,0,0,0,0
2017-2018,Bundesliga,308,Admir Mehmedi,ch SUI,"DF,MF",Leverkusen,26,1991,12,8,700,2,3,0,0,3,0
2017-2018,Bundesliga,309,Alexander Meier,de GER,FW,Eint Frankfurt,34,1983,1,0,4,1,0,0,0,0,0
2017-2018,Bundesliga,310,Jorge Meré,es ESP,DF,Köln,20,1997,22,21,"1,890",1,1,0,0,6,0
2017-2018,Bundesliga,311,Max Meyer,de GER,MF,Schalke 04,21,1995,24,21,"1,727",0,0,0,0,6,0
2017-2018,Bundesliga,312,Maximilian Mittelstädt,de GER,"MF,DF",Hertha BSC,20,1997,11,5,424,0,0,0,0,0,0
2017-2018,Bundesliga,313,Niklas Moisander,fi FIN,DF,Werder Bremen,31,1985,25,25,"2,250",2,0,0,0,6,0
2017-2018,Bundesliga,314,Jan Morávek,cz CZE,MF,Augsburg,27,1989,16,7,702,0,0,0,0,5,1
2017-2018,Bundesliga,315,Florian Müller,de GER,GK,Mainz 05,19,1997,5,5,450,0,0,0,0,0,0
2017-2018,Bundesliga,316,Nicolai Müller,de GER,"MF,DF",Hamburger SV,29,1987,2,1,101,1,0,0,0,0,0
2017-2018,Bundesliga,317,Thomas Müller,de GER,"FW,MF",Bayern Munich,27,1989,29,22,"2,005",8,14,0,0,4,0
2017-2018,Bundesliga,318,Yoshinori Mutō,jp JPN,FW,Mainz 05,25,1992,27,20,"1,904",8,2,0,0,2,0
2017-2018,Bundesliga,319,Yvon Mvogo,ch SUI,GK,RB Leipzig,23,1994,1,1,90,0,0,0,0,0,0
2017-2018,Bundesliga,320,Naldo,br BRA,DF,Schalke 04,34,1982,34,34,"3,060",7,2,0,0,5,0
2017-2018,Bundesliga,321,Nikolas Nartey,dk DEN,MF,Köln,17,2000,1,0,7,0,0,0,0,0,0
2017-2018,Bundesliga,322,Matija Nastasić,rs SRB,DF,Schalke 04,24,1993,24,22,"1,989",0,0,0,0,6,1
2017-2018,Bundesliga,323,Manuel Neuer,de GER,GK,Bayern Munich,31,1986,3,3,270,0,0,0,0,0,0
2017-2018,Bundesliga,324,Florian Niederlechner,de GER,"FW,MF",Freiburg,26,1990,10,9,697,2,0,0,1,1,0
2017-2018,Bundesliga,325,Håvard Nordtveit,no NOR,DF,Hoffenheim,27,1990,15,10,969,0,0,0,0,0,0
2017-2018,Bundesliga,326,Paul-Georges Ntep,cm CMR,"FW,MF",Wolfsburg,25,1992,5,1,165,0,0,0,0,2,1
2017-2018,Bundesliga,327,Alexander Nübel,de GER,GK,Schalke 04,20,1996,1,0,45,0,0,0,0,0,0
2017-2018,Bundesliga,328,Philipp Ochs,de GER,"FW,DF",Hoffenheim,20,1997,3,0,73,0,0,0,0,0,0
2017-2018,Bundesliga,329,Bastian Oczipka,de GER,"DF,MF",Schalke 04,28,1989,29,26,"2,320",0,2,0,0,2,0
2017-2018,Bundesliga,330,Ebenezer Ofori,gh GHA,MF,Stuttgart,22,1995,1,0,10,0,0,0,0,0,0
2017-2018,Bundesliga,331,Kwasi Okyere Wriedt,gh GHA,MF,Bayern Munich,23,1994,1,0,23,0,0,0,0,0,0
2017-2018,Bundesliga,332,Paweł Olkowski,pl POL,DF,Köln,27,1990,5,5,450,0,0,0,0,1,0
2017-2018,Bundesliga,333,Karim Onisiwo,at AUT,"DF,FW",Mainz 05,25,1992,8,2,256,0,0,0,0,0,0
2017-2018,Bundesliga,334,Daniel Opare,gh GHA,"DF,MF",Augsburg,26,1990,17,17,"1,417",0,0,0,0,6,0
2017-2018,Bundesliga,335,Willi Orban,hu HUN,DF,RB Leipzig,24,1992,26,25,"2,126",3,0,0,0,5,1
2017-2018,Bundesliga,336,Divock Origi,be BEL,FW,Wolfsburg,22,1995,31,22,"1,967",6,2,0,0,2,0
2017-2018,Bundesliga,337,Yuya Osako,jp JPN,"FW,MF",Köln,27,1990,25,23,"1,896",4,2,0,0,3,1
2017-2018,Bundesliga,338,Victor Osimhen,ng NGA,"FW,MF",Wolfsburg,18,1998,12,3,287,0,0,0,0,0,0
2017-2018,Bundesliga,339,Matthias Ostrzolek,de GER,DF,Hannover 96,27,1990,27,27,"2,379",0,1,0,0,5,0
2017-2018,Bundesliga,340,Anas Ouahim,de GER,FW,Köln,19,1997,1,0,19,0,0,0,0,0,0
2017-2018,Bundesliga,341,Reece Oxford,eng ENG,"DF,MF",M'Gladbach,18,1998,7,5,463,0,0,0,0,1,0
2017-2018,Bundesliga,342,Berkay Özcan,tr TUR,"FW,MF",Stuttgart,19,1998,17,11,"1,002",1,2,0,0,1,0
2017-2018,Bundesliga,343,Ramazan Özcan,at AUT,GK,Leverkusen,33,1984,1,1,90,0,0,0,0,0,0
2017-2018,Bundesliga,344,Salih Özcan,de GER,MF,Köln,19,1998,23,19,"1,670",0,1,0,0,5,0
2017-2018,Bundesliga,345,Levin Öztunalı,de GER,"FW,MF",Mainz 05,21,1996,25,21,"1,741",0,4,0,0,3,0
2017-2018,Bundesliga,346,Kyriakos Papadopoulos,gr GRE,DF,Hamburger SV,25,1992,29,29,"2,610",1,1,0,0,12,1
2017-2018,Bundesliga,347,Sokratis Papastathopoulos,gr GRE,DF,Dortmund,29,1988,30,28,"2,373",2,0,0,0,5,1
2017-2018,Bundesliga,348,Shawn Parker,de GER,"DF,MF",Augsburg,24,1993,2,0,46,0,0,0,0,0,0
2017-2018,Bundesliga,349,Felix Passlack,de GER,DF,Dortmund,19,1998,1,0,13,0,0,0,0,0,0
2017-2018,Bundesliga,350,Felix Passlack,de GER,"MF,DF",Hoffenheim,19,1998,2,1,62,0,0,0,0,0,0
2017-2018,Bundesliga,351,Benjamin Pavard,fr FRA,DF,Stuttgart,21,1996,34,34,"3,060",1,0,0,0,2,0
2017-2018,Bundesliga,352,Jiří Pavlenka,cz CZE,GK,Werder Bremen,25,1992,34,34,"3,060",0,0,0,0,1,0
2017-2018,Bundesliga,353,Peter Pekarík,sk SVK,DF,Hertha BSC,30,1986,17,17,"1,375",0,2,0,0,1,0
2017-2018,Bundesliga,354,Nils Petersen,de GER,FW,Freiburg,28,1988,32,24,"2,244",15,1,5,6,4,1
2017-2018,Bundesliga,355,Maximilian Philipp,de GER,"FW,MF",Dortmund,23,1994,20,15,"1,203",9,1,0,0,0,0
2017-2018,Bundesliga,356,Łukasz Piszczek,pl POL,DF,Dortmund,32,1985,24,24,"2,138",0,3,0,0,3,0
2017-2018,Bundesliga,357,Claudio Pizarro,pe PER,"FW,MF",Köln,38,1978,16,5,579,1,1,0,0,0,0
2017-2018,Bundesliga,358,Marko Pjaca,hr CRO,"FW,MF",Schalke 04,22,1995,7,3,260,2,0,0,0,0,0
2017-2018,Bundesliga,359,Marvin Plattenhardt,de GER,DF,Hertha BSC,25,1992,33,33,"2,970",0,7,0,0,6,0
2017-2018,Bundesliga,360,Joel Pohjanpalo,fi FIN,"MF,FW",Leverkusen,22,1994,7,0,116,1,0,0,0,0,0
2017-2018,Bundesliga,361,Eugen Polanski,pl POL,MF,Hoffenheim,31,1986,9,2,261,0,1,0,0,1,0
2017-2018,Bundesliga,362,Julian Pollersbeck,de GER,GK,Hamburger SV,22,1994,10,10,900,0,0,0,0,1,0
2017-2018,Bundesliga,363,Stefan Posch,at AUT,DF,Hoffenheim,20,1997,9,9,756,0,0,0,0,3,0
2017-2018,Bundesliga,364,Yussuf Poulsen,dk DEN,FW,RB Leipzig,23,1994,30,18,"1,664",4,2,0,0,1,0
2017-2018,Bundesliga,365,Christian Pulisic,us USA,FW,Dortmund,18,1998,32,27,"2,302",4,5,0,0,1,0
2017-2018,Bundesliga,366,Robin Quaison,se SWE,FW,Mainz 05,23,1993,24,15,"1,409",4,1,0,0,3,0
2017-2018,Bundesliga,367,Raffael,br BRA,FW,M'Gladbach,32,1985,27,23,"2,071",9,1,1,1,0,0
2017-2018,Bundesliga,368,Rafinha,br BRA,DF,Bayern Munich,31,1985,27,19,"1,851",1,2,0,0,4,0
2017-2018,Bundesliga,369,Baba Rahman,gh GHA,DF,Schalke 04,23,1994,1,0,34,0,0,0,0,0,0
2017-2018,Bundesliga,370,André Ramalho,br BRA,"DF,FW",Leverkusen,25,1992,3,0,34,0,0,0,0,0,0
2017-2018,Bundesliga,371,Milot Rashica,xk KVX,"FW,MF",Werder Bremen,21,1996,9,5,384,1,0,0,0,0,0
2017-2018,Bundesliga,372,Konstantin Rausch,ru RUS,DF,Köln,27,1990,12,11,925,0,1,0,0,3,0
2017-2018,Bundesliga,373,Yoric Ravet,fr FRA,"MF,FW",Freiburg,27,1989,10,5,498,0,2,0,0,0,1
2017-2018,Bundesliga,374,Ante Rebić,hr CRO,"FW,MF",Eint Frankfurt,23,1993,25,21,"1,751",6,2,0,0,8,0
2017-2018,Bundesliga,375,Fabian Reese,de GER,"FW,MF",Schalke 04,19,1997,7,0,75,0,0,0,0,0,0
2017-2018,Bundesliga,376,Karim Rekik,nl NED,DF,Hertha BSC,22,1994,26,26,"2,302",2,2,0,0,4,0
2017-2018,Bundesliga,377,Panagiotis Retsos,gr GRE,DF,Leverkusen,18,1998,24,18,"1,716",1,3,0,0,6,0
